stationID,hour_timestamp,total_kWh,hour,dayofweek,month,day,weekofyear,hour_sin,hour_cos,dow_sin,dow_cos,station_encoded,lag_1,rolling_3h,rolling_24h
2-39-79-378,2019-08-10 21:00:00,1.06,21,5,8,10,32,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,32,9.479,3.7800000000000025,7.086458333333333
2-39-79-378,2019-08-12 15:00:00,6.233,15,0,8,12,33,-0.7071067811865471,-0.7071067811865479,0.0,1.0,32,1.06,5.590666666666668,7.277708333333334
2-39-79-378,2019-08-12 20:00:00,17.899,20,0,8,12,33,-0.8660254037844386,0.5000000000000001,0.0,1.0,32,6.233,8.397333333333336,7.62875
2-39-79-378,2019-08-13 16:00:00,27.589,16,1,8,13,33,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,32,17.899,17.240333333333336,8.676208333333333
2-39-79-378,2019-08-14 16:00:00,3.91,16,2,8,14,33,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,27.589,16.466,7.593583333333334
2-39-79-378,2019-08-14 18:00:00,6.606,18,2,8,14,33,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,32,3.91,12.701666666666668,7.78875
2-39-79-378,2019-08-15 20:00:00,26.39,20,3,8,15,33,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,32,6.606,12.302000000000001,8.847499999999998
2-39-79-378,2019-08-19 17:00:00,0.811,17,0,8,19,34,-0.9659258262890683,-0.25881904510252063,0.0,1.0,32,26.39,11.269000000000004,8.595583333333332
2-39-79-378,2019-08-20 15:00:00,17.522,15,1,8,20,34,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,32,0.811,14.90766666666667,9.288541666666667
2-39-79-378,2019-08-21 19:00:00,2.17,19,2,8,21,34,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,32,17.522,6.834333333333336,8.709958333333333
2-39-79-378,2019-08-22 21:00:00,4.386,21,3,8,22,34,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,32,2.17,8.026000000000002,8.601291666666667
2-39-79-378,2019-08-23 15:00:00,14.94,15,4,8,23,34,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,32,4.386,7.1653333333333356,8.909333333333333
2-39-79-378,2019-08-23 21:00:00,2.427,21,4,8,23,34,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,32,14.94,7.251000000000002,8.514124999999998
2-39-79-378,2019-08-24 16:00:00,5.911,16,5,8,24,34,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,32,2.427,7.759333333333335,8.715666666666666
2-39-79-378,2019-08-27 16:00:00,0.889,16,1,8,27,35,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,32,5.911,3.0756666666666685,8.54575
2-39-79-378,2019-08-28 15:00:00,1.306,15,2,8,28,35,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,32,0.889,2.702000000000002,8.318708333333333
2-39-79-378,2019-08-29 15:00:00,19.445,15,3,8,29,35,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,32,1.306,7.213333333333336,8.850458333333334
2-39-79-378,2019-08-29 19:00:00,10.396,19,3,8,29,35,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,32,19.445,10.382333333333337,9.217041666666665
2-39-79-378,2019-08-30 01:00:00,4.043,1,4,8,30,35,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,32,10.396,11.29466666666667,8.639999999999999
2-39-79-378,2019-08-30 15:00:00,6.689,15,4,8,30,35,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,32,4.043,7.042666666666669,8.844208333333333
2-39-79-378,2019-09-03 17:00:00,9.339,17,1,9,3,36,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,32,6.689,6.690333333333336,8.477541666666665
2-39-79-378,2019-09-03 18:00:00,2.102,18,1,9,3,36,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,32,9.339,6.0433333333333366,8.430958333333333
2-39-79-378,2019-09-03 19:00:00,6.013,19,1,9,3,36,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,32,2.102,5.818000000000002,8.648125
2-39-79-378,2019-09-04 16:00:00,14.479,16,2,9,4,36,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,6.013,7.531333333333336,8.856458333333334
2-39-79-378,2019-09-05 20:00:00,2.785,20,3,9,5,36,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,32,14.479,7.759000000000003,8.928333333333333
2-39-79-378,2019-09-09 16:00:00,5.215,16,0,9,9,37,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,2.785,7.493000000000002,8.885916666666667
2-39-79-378,2019-09-10 15:00:00,14.464,15,1,9,10,37,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,32,5.215,7.488000000000002,8.742791666666667
2-39-79-378,2019-09-11 16:00:00,10.313,16,2,9,11,37,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,14.464,9.997333333333335,8.022958333333333
2-39-79-378,2019-09-12 17:00:00,8.688,17,3,9,12,37,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,32,10.313,11.155000000000003,8.222041666666668
2-39-79-378,2019-09-13 22:00:00,4.356,22,4,9,13,37,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,32,8.688,7.78566666666667,8.128291666666668
2-39-79-378,2019-09-17 15:00:00,31.381,15,1,9,17,38,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,32,4.356,14.808333333333337,8.336250000000001
2-39-79-378,2019-09-20 15:00:00,4.838,15,4,9,20,38,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,32,31.381,13.525,8.504041666666668
2-39-79-378,2019-09-20 18:00:00,7.763,18,4,9,20,38,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,32,4.838,14.660666666666671,8.097416666666666
2-39-79-378,2019-09-23 15:00:00,18.883,15,0,9,23,39,-0.7071067811865471,-0.7071067811865479,0.0,1.0,32,7.763,10.494666666666669,8.793791666666666
2-39-79-378,2019-09-24 21:00:00,2.546,21,1,9,24,39,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,32,18.883,9.730666666666668,8.717125000000001
2-39-79-378,2019-09-25 19:00:00,6.53,19,2,9,25,39,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,32,2.546,9.319666666666668,8.366708333333333
2-39-79-378,2019-09-26 15:00:00,16.438,15,3,9,26,39,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,32,6.53,8.504666666666669,8.9505
2-39-79-378,2019-09-27 16:00:00,12.207,16,4,9,27,39,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,32,16.438,11.725000000000003,9.212833333333334
2-39-79-378,2019-09-28 02:00:00,10.492,2,5,9,28,39,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,32,12.207,13.04566666666667,9.612958333333333
2-39-79-378,2019-09-30 16:00:00,16.22,16,0,9,30,40,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,10.492,12.973000000000004,10.234375
2-39-79-378,2019-10-02 15:00:00,2.04,15,2,10,2,40,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,32,16.22,9.584000000000001,9.509166666666667
2-39-79-378,2019-10-05 01:00:00,7.117,1,5,10,5,40,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,32,2.04,8.459000000000001,9.372541666666667
2-39-79-378,2019-10-07 17:00:00,9.79,17,0,10,7,41,-0.9659258262890683,-0.25881904510252063,0.0,1.0,32,7.117,6.315666666666669,9.612
2-39-79-378,2019-10-14 15:00:00,5.579,15,0,10,14,42,-0.7071067811865471,-0.7071067811865479,0.0,1.0,32,9.79,7.495333333333336,9.56575
2-39-79-378,2019-10-14 22:00:00,4.617,22,0,10,14,42,-0.5000000000000004,0.8660254037844384,0.0,1.0,32,5.579,6.662000000000002,9.369000000000002
2-39-79-378,2019-10-15 21:00:00,4.683,21,1,10,15,42,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,32,4.617,4.959666666666669,9.476541666666668
2-39-79-378,2019-10-16 19:00:00,2.235,19,2,10,16,42,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,32,4.683,3.8450000000000024,9.319125
2-39-79-378,2019-10-17 16:00:00,1.418,16,3,10,17,42,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,2.235,2.7786666666666693,8.774916666666666
2-39-79-378,2019-10-18 19:00:00,1.123,19,4,10,18,42,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,32,1.418,1.5920000000000023,8.705666666666666
2-39-79-378,2019-10-22 18:00:00,0.783,18,1,10,22,43,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,32,1.123,1.1080000000000023,8.520999999999999
2-39-79-378,2019-10-24 20:00:00,3.083,20,3,10,24,43,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,32,0.783,1.6630000000000023,8.046791666666666
2-39-79-378,2019-10-25 16:00:00,1.355,16,4,10,25,43,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,32,3.083,1.7403333333333357,7.673541666666666
2-39-79-378,2019-10-28 20:00:00,1.141,20,0,10,28,44,-0.8660254037844386,0.5000000000000001,0.0,1.0,32,1.355,1.8596666666666692,7.359083333333333
2-39-79-378,2019-10-30 02:00:00,4.317,2,2,10,30,44,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,32,1.141,2.2710000000000026,7.357458333333333
2-39-79-378,2019-10-30 16:00:00,5.04,16,2,10,30,44,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,4.317,3.499333333333336,6.259916666666666
2-39-79-378,2019-11-01 17:00:00,2.748,17,4,11,1,44,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,32,5.04,4.035000000000003,6.172833333333333
2-39-79-378,2019-11-02 17:00:00,14.091,17,5,11,2,44,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,32,2.748,7.293000000000002,6.4365
2-39-79-378,2019-11-04 17:00:00,22.645,17,0,11,4,45,-0.9659258262890683,-0.25881904510252063,0.0,1.0,32,14.091,13.161333333333337,6.59325
2-39-79-378,2019-11-05 18:00:00,11.826,18,1,11,5,45,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,32,22.645,16.187333333333335,6.979916666666665
2-39-79-378,2019-11-05 22:00:00,2.099,22,1,11,5,45,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,32,11.826,12.190000000000003,6.7952916666666665
2-39-79-378,2019-11-06 21:00:00,1.588,21,2,11,6,45,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,32,2.099,5.171000000000003,6.176541666666666
2-39-79-378,2019-11-07 21:00:00,32.616,21,3,11,7,45,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,32,1.588,12.101000000000004,7.026916666666668
2-39-79-378,2019-11-08 16:00:00,1.525,16,4,11,8,45,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,32,32.616,11.909666666666668,6.653291666666665
2-39-79-378,2019-11-11 16:00:00,0.723,16,0,11,11,46,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,1.525,11.621333333333338,6.007583333333333
